analysis_set,fpr,tpr,threshold,roc_auc,n,n_pos,n_neg
original,0.07308482535955386,0.46114864864864863,0.783636,0.8400072089259792,3999,592,3407
original,0.07308482535955386,0.46283783783783783,0.7835369,0.8400072089259792,3999,592,3407
original,0.0733783387144115,0.46283783783783783,0.78315413,0.8400072089259792,3999,592,3407
original,0.0733783387144115,0.46621621621621623,0.7829031,0.8400072089259792,3999,592,3407
original,0.0739653654241268,0.46621621621621623,0.78279805,0.8400072089259792,3999,592,3407
original,0.0739653654241268,0.46790540540540543,0.7827964,0.8400072089259792,3999,592,3407
original,0.07572644555327267,0.46790540540540543,0.7819227,0.8400072089259792,3999,592,3407
original,0.07572644555327267,0.46959459459459457,0.7818175,0.8400072089259792,3999,592,3407
original,0.07601995890813032,0.46959459459459457,0.7817141,0.8400072089259792,3999,592,3407
original,0.07601995890813032,0.47128378378378377,0.7816279,0.8400072089259792,3999,592,3407
original,0.07631347226298797,0.47128378378378377,0.7810521,0.8400072089259792,3999,592,3407
original,0.07631347226298797,0.47297297297297297,0.7810178,0.8400072089259792,3999,592,3407
original,0.07690049897270326,0.47297297297297297,0.78093326,0.8400072089259792,3999,592,3407
original,0.07690049897270326,0.47466216216216217,0.7804311,0.8400072089259792,3999,592,3407
original,0.07807455239213384,0.47466216216216217,0.7795111,0.8400072089259792,3999,592,3407
original,0.07807455239213384,0.47635135135135137,0.77909803,0.8400072089259792,3999,592,3407
original,0.07836806574699148,0.47635135135135137,0.7789935,0.8400072089259792,3999,592,3407
original,0.07836806574699148,0.4780405405405405,0.77894294,0.8400072089259792,3999,592,3407
original,0.07866157910184914,0.4780405405405405,0.7788582,0.8400072089259792,3999,592,3407
original,0.07866157910184914,0.4814189189189189,0.7786672,0.8400072089259792,3999,592,3407
original,0.07924860581156443,0.4814189189189189,0.778216,0.8400072089259792,3999,592,3407
original,0.07924860581156443,0.4864864864864865,0.7780177,0.8400072089259792,3999,592,3407
original,0.07954211916642208,0.4864864864864865,0.77798045,0.8400072089259792,3999,592,3407
original,0.07954211916642208,0.48817567567567566,0.777951,0.8400072089259792,3999,592,3407
original,0.08042265923099501,0.48817567567567566,0.7771829,0.8400072089259792,3999,592,3407
original,0.08071617258585266,0.48986486486486486,0.77707803,0.8400072089259792,3999,592,3407
original,0.08159671265042559,0.48986486486486486,0.7767788,0.8400072089259792,3999,592,3407
original,0.08159671265042559,0.49324324324324326,0.7756463,0.8400072089259792,3999,592,3407
original,0.08189022600528324,0.49324324324324326,0.7752154,0.8400072089259792,3999,592,3407
original,0.08189022600528324,0.4966216216216216,0.7750782,0.8400072089259792,3999,592,3407
original,0.08277076606985617,0.4966216216216216,0.774549,0.8400072089259792,3999,592,3407
original,0.08277076606985617,0.4983108108108108,0.7744888,0.8400072089259792,3999,592,3407
original,0.08335779277957148,0.4983108108108108,0.7743605,0.8400072089259792,3999,592,3407
original,0.08335779277957148,0.5067567567567568,0.77312297,0.8400072089259792,3999,592,3407
original,0.0848253595538597,0.5067567567567568,0.7715853,0.8400072089259792,3999,592,3407
original,0.0848253595538597,0.5084459459459459,0.7712728,0.8400072089259792,3999,592,3407
original,0.08541238626357499,0.5084459459459459,0.77060795,0.8400072089259792,3999,592,3407
original,0.08541238626357499,0.5101351351351351,0.77051675,0.8400072089259792,3999,592,3407
original,0.08658643968300557,0.5101351351351351,0.77004945,0.8400072089259792,3999,592,3407
original,0.08658643968300557,0.5135135135135135,0.7699853,0.8400072089259792,3999,592,3407
original,0.08717346639272087,0.5135135135135135,0.7699661,0.8400072089259792,3999,592,3407
original,0.08717346639272087,0.5152027027027027,0.76993847,0.8400072089259792,3999,592,3407
original,0.08776049310243617,0.5152027027027027,0.7696837,0.8400072089259792,3999,592,3407
original,0.0880540064572938,0.5152027027027027,0.7693877,0.8400072089259792,3999,592,3407
original,0.0880540064572938,0.5168918918918919,0.7691703,0.8400072089259792,3999,592,3407
original,0.08952157323158204,0.5168918918918919,0.7683252,0.8400072089259792,3999,592,3407
original,0.08952157323158204,0.518581081081081,0.76824844,0.8400072089259792,3999,592,3407
original,0.09040211329615498,0.518581081081081,0.76786727,0.8400072089259792,3999,592,3407
original,0.09040211329615498,0.5219594594594594,0.7675922,0.8400072089259792,3999,592,3407
original,0.09098914000587027,0.5219594594594594,0.76748776,0.8400072089259792,3999,592,3407
original,0.09098914000587027,0.5236486486486487,0.7670936,0.8400072089259792,3999,592,3407
original,0.09128265336072791,0.5236486486486487,0.7670202,0.8400072089259792,3999,592,3407
