analysis_set,recall,precision,threshold,pr_auc,n,n_pos,n_neg
original,0.9983108108108109,0.15929919137466308,0.17619282,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1593421407387436,0.17640983,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1593851132686084,0.17667463,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15942810898300513,0.1767776,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15947112790070156,0.17679074,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15951417004048582,0.17689961,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15955723542116632,0.17698117,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1596003240615717,0.17763495,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15964343598055106,0.17887591,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1596865711969738,0.17901161,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15972972972972974,0.17918758,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1597729115977291,0.1792706,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15981611681990265,0.17960656,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15985934541520153,0.17978582,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1599025974025974,0.18017298,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.15998917162966975,0.18031397,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16003249390739235,0.1807023,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16007583965330444,0.18073186,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16011920888648062,0.18118808,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16016260162601625,0.18158105,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16020601789102737,0.18172419,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16024945770065077,0.18189347,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16029292107404394,0.18280216,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16033640803038524,0.18322447,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16037991858887382,0.18325791,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16042345276872963,0.18343464,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1604670105891936,0.18423012,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16051059206952742,0.18437296,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16055419722901385,0.18444145,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16059782608695652,0.18451098,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16064147866268008,0.18457758,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16068515497553018,0.18465775,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16072885504487353,0.18475991,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16077257889009794,0.18510373,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16081632653061226,0.1855393,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1608600979858465,0.18580848,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16090389327525184,0.18606937,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1609915554344865,0.18618429,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16103542234332424,0.1863142,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16107931316434995,0.186573,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16112322791712105,0.18658812,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16116716662121625,0.18666872,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16121112929623568,0.18667549,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1612551159618008,0.18680352,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16129912663755458,0.18684499,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16134316134316135,0.18708539,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16138722009830694,0.18719438,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16143130292269872,0.18737361,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16147540983606556,0.1876176,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16151954085815798,0.18769756,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16156369600874795,0.18784752,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1616078753076292,0.1879305,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16165207877461707,0.188034,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16169630642954858,0.18822983,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16174055829228243,0.18844461,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16178483438269914,0.18882313,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16182913472070098,0.18887873,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.161873459326212,0.18929324,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1619178082191781,0.18940777,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.161962181419567,0.1897116,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16200657894736842,0.18973404,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1620510008225939,0.18991348,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.162095447065277,0.19038254,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16213991769547326,0.19048056,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16218441273326015,0.1905011,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.1622289321987373,0.19074814,0.44064149552255333,3999,592,3407
original,0.9983108108108109,0.16227347611202636,0.19082624,0.44064149552255333,3999,592,3407
